coordinate,target,target_mcse
0,0.07417722601034064,0.01582143326195965
1,-1.4774832031763598,0.007565877966860846
2,-1.4920814800829179,0.004677776866849151
3,-0.004657895975051699,0.006810999831990842
4,0.159753562792429,0.008018810768603776
5,-0.026100983751674595,0.011498888393528231
6,1.5540693402685601,0.0060062805528340564
7,1.543344153469851,0.01414000899018958
8,0.03193863749340329,0.009369888096920177
9,0.04669828293781816,0.004445681775759199
10,0.0011367066852173684,0.012107349485408932
11,1.721702825950717,0.026263138663418707
