coordinate,coordinate_name,estimate,naive_se,stabilized_se,local_bootstrap_sd,global_bootstrap_sd,naive_to_local_bootstrap,stabilized_to_local_bootstrap
0,weight_logit_1_vs_2,1.1873130590847607,0.043467885305125235,0.11305369684163247,0.15010642654281972,1.2875602717778638,0.28958044173228975,0.753156939682276
1,component_1_normal_coordinate_0,0.8544076902434781,0.04515469081653266,0.08386602727057346,0.09474642028422704,1.5839333503176234,0.4765846633685411,0.8851630174415687
2,component_1_normal_coordinate_1,0.6726805242673256,0.03461534589412031,0.05542682755098209,0.06788318294089897,1.6106626104978272,0.5099252037762787,0.8165030741006688
3,component_1_normal_coordinate_2,0.763907111817859,0.014906133179523549,0.02531034575096439,0.02623105971789473,0.11198438187259592,0.5682627137383489,0.9648998562455243
4,component_1_normal_coordinate_3,-0.7204611435971885,0.03376748097657298,0.05051909519426263,0.05974556276928848,0.2333307814512443,0.5651880978503522,0.8455706642072403
5,component_1_normal_coordinate_4,0.3928696237747834,0.014712646022755146,0.031192942133506287,0.04162820470280555,0.10524528216407888,0.3534297510015747,0.7493223009784044
6,component_2_student_t_coordinate_0,-2.6873948199224333,0.09666717014254937,0.171120137056845,0.22058788125430073,1.2305709269870622,0.4382252079891387,0.7757458663813551
7,component_2_student_t_coordinate_1,-2.143610361723031,0.08966086644349312,0.17660285621013128,0.1984722699913094,1.1301195274572429,0.45175513157288494,0.8898112377001798
8,component_2_student_t_coordinate_2,0.7763986086324189,0.03465412396701597,0.042547941497132216,0.04974971740137426,0.08727222350738638,0.6965692626438659,0.8552398630500944
9,component_2_student_t_coordinate_3,-1.1907923981612782,0.08430712491314404,0.10697523967171518,0.13397067164320825,0.3083877303165176,0.6292953814374496,0.7984974499240587
10,component_2_student_t_coordinate_4,0.524803904472751,0.04069822886284247,0.050550100318569956,0.05626107429633689,0.12474468129840922,0.7233816519122582,0.8984915583430519
11,component_2_student_t_coordinate_5,2.0311163458919443,0.30042429104165885,0.3301291156346936,0.31021784640679656,0.6430278036079388,0.9684300710659465,1.0641847961312545
