coordinate_0,coordinate_1,coordinate_2,coordinate_3,coordinate_4,coordinate_5,coordinate_6,coordinate_7,coordinate_8,coordinate_9,coordinate_10,coordinate_11,objective
-8.216818562509337,-2.112318543948947,-2.0512357779185355,-3.5969074524755453,-0.016818493973158943,-3.3879396835904747,0.6652721592032192,0.6650018925673936,0.29442461414535825,0.6552006691177042,0.1577607552130044,2.0529228124623047,-3.49471227837135
-7.6623077527755505,-1.9648322227042965,-2.078878407006439,-3.851962393188488,0.031048926092902305,-2.5928155151577714,0.6639930023292163,0.6616822667573131,0.3001138256591442,0.6572697687851738,0.15630253345471903,2.092279919275273,-3.492915472504466
-7.322610505047923,-1.943305126137697,-2.2304684407170523,-2.7628104482585516,-0.04753203708260246,-3.1734128563497395,0.673142660873585,0.668828315834338,0.2939645437643682,0.6539642614560583,0.16422862947811098,2.0246442509781235,-3.5060647884904483
-7.181431835737489,-1.9787355171690548,-2.020669509997373,-2.4886882701663757,-0.05628661797092933,-3.452462755887938,0.6691733339981769,0.6683446796140148,0.2899884304550944,0.6520097097409798,0.15418054622165192,2.022816683794499,-3.492416187494175
-7.469304034623921,-1.8353767377333128,-2.065759825104455,-2.8622103672948054,-0.027067257804267178,-3.726308009814763,0.6711727968466126,0.6716578320530712,0.2928722546869736,0.6472571688760104,0.15944782836093868,2.055425538898303,-3.494711655905547
-8.468193005193719,-1.905417893785908,-1.9808357426147272,-3.224950913886147,-0.03256529010088151,-4.04607000127382,0.6743976892660091,0.671030827282417,0.2902795705001339,0.6536498778992704,0.15744246639348072,2.028447057229318,-3.4941526745276446
-8.254568893142887,-1.9988158743874977,-1.985916146572428,-3.1213845597359784,-0.05125849422268654,-3.623134722311199,0.6769090682485664,0.673415520209926,0.2928845484328345,0.6603077419639101,0.1572833439450647,2.0528875065572856,-3.492727960673672
-7.307562621028957,-2.086298096688443,-2.1474806888521045,-2.8369897002957907,-0.026991305506713574,-3.4423343103829662,0.6626524202298051,0.6623591967457839,0.2929135329415152,0.6532473296164469,0.15577098029730055,2.0272273254867774,-3.495920719534644
-7.451902286158744,-2.1095985929783914,-1.99071331373977,-2.677532484495135,-0.0631342875296794,-3.339539318046774,0.6715077529824934,0.6626806485166191,0.28677833594111984,0.6508675972443743,0.1533024043669451,2.0022613701214764,-3.4915851863281318
1.6195278191147588,1.0282125904680959,1.0343470028295083,0.16535827669066713,0.2357943958751983,0.14857506854120128,-1.3890057554733597,-1.3777946904866334,-0.2893522959332849,-0.16199363223293603,-0.32529189889297105,0.17159372249704907,-3.5497160723865697
