coordinate_0,coordinate_1,coordinate_2,coordinate_3,coordinate_4,coordinate_5,coordinate_6,coordinate_7,coordinate_8,coordinate_9,coordinate_10,coordinate_11,objective,fit_initialization,fit_objective_gap,fit_admissible_candidates,fit_total_candidates,fit_selected_admissible,fit_minimum_weight
0.12287436449329303,-1.0915300545589812,-1.0843076995407415,-0.05204268247774373,0.13092572084447787,-0.05668747704743122,1.1769994810892692,1.1681440439834483,-0.07022992571958511,0.005148680559960014,-0.06042685532317914,1.4193171427359004,-3.563121957785535,kmeans,0.00010184493301279574,4,4,True,0.46932
0.11922101338529945,-1.0870280595736503,-1.0909372072008894,-0.05110596515295748,0.12868974017337448,-0.06785045096741461,1.163895404659808,1.1705640677437732,-0.06415280792252859,0.004685339585643263,-0.07055728919847212,1.3799569678582266,-3.5602811551439193,kmeans,0.00011300613018905281,4,4,True,0.47023
0.1353261433279479,-1.079483997500135,-1.0901179663378042,-0.04915618797429802,0.12301528488597624,-0.048873247192890094,1.183649272729207,1.1878215056206387,-0.05663640051239432,0.010337611367991653,-0.062382114945199754,1.4380205098588092,-3.5710056349506467,kmeans,0.00012504578064165273,4,4,True,0.46622
0.14091270608660655,-1.0793740958783422,-1.0728415286644715,-0.05714459426640696,0.1366218539153067,-0.05434886160648757,1.1745195781345603,1.1678189914565156,-0.07618620908848131,-0.0026522436158305466,-0.06653070484657989,1.3562006360756127,-3.560593864371593,kmeans,0.00012327279409740655,4,4,True,0.46483
0.12034503565279642,-1.0849428826374592,-1.0852115151777861,-0.05115476654315402,0.132516170530683,-0.06684905374644301,1.172810106166088,1.1738946988335603,-0.05526893907159444,0.0022231882174593904,-0.06021790956459523,1.4152707843237429,-3.5660202949043507,kmeans,0.00011233037332480933,4,4,True,0.46995
0.10601919376539404,-1.0925812003479756,-1.092454220421217,-0.05782287891759136,0.12858110514729734,-0.06984332965586805,1.1630725132307989,1.1626824002759342,-0.06695345431590594,0.007916909386614771,-0.05444901806130422,1.3861239328637016,-3.5627680469435696,kmeans,1.6874629296559363e-05,4,4,True,0.47352
0.140751911424829,-1.0838445256077145,-1.0754207715110327,-0.059844133600296404,0.14423256631298842,-0.0574222210308885,1.1950556764362754,1.1838606989280254,-0.0682714455314521,0.010233942759384416,-0.050784890804563276,1.3860644662963666,-3.5654230691898894,gmm,9.771474669850733e-06,4,4,True,0.46487
0.13608964787087596,-1.0857355414227905,-1.0827908647835554,-0.04927752359054976,0.13700489937951013,-0.05910045315979733,1.1769289688973414,1.1751337418693295,-0.06622918885068117,0.0036590395386038315,-0.06383896942467171,1.4048207570583486,-3.5636469701285836,gmm,2.6797291496905018e-08,4,4,True,0.46603
0.11304021623157512,-1.0910176966251597,-1.091709594210467,-0.05854383649815764,0.13173281631435127,-0.0628417685683951,1.1711003202276817,1.1582847368127172,-0.07761582947459124,0.006458306470741734,-0.059784198077800395,1.3745372125705093,-3.5589687546708855,kmeans,0.0277771604499244,4,4,True,0.47177
0.11709360516474876,-1.1015118933200945,-1.085179402246155,-0.059129365778135344,0.12431465474713733,-0.0552262875656838,1.1768695322630802,1.1718134914510399,-0.06971230765736249,0.010201483546204747,-0.05416374639857095,1.4084125703319408,-3.565076884754547,kmeans,0.027935975831963056,4,4,True,0.47076
